"file","lhs","op","rhs","beta","se","z","pval","level"
"data12","X5","~","X2lag",-0.398691820647231,0.0154832183314344,-25.7499320950476,0,"group"
"data12","X3","~","X5",0.494483027543501,0.00910136401020726,54.3306505474272,0,"group"
"data12","X6","~","X5lag",0.174414807760972,0.00770791025404795,22.6280278327546,0,"group"
"data12","X6","~","X7lag",-0.381269467062963,0.00814406272893421,-46.8156348683796,0,"group"
"data12","X4","~","X3lag",-0.611686452660576,0.0133696409885721,-45.7518981387327,0,"group"
"data12","X4","~","X2lag",-0.457282354733913,0.0222552453642927,-20.5471720148993,0,"group"
"data12","X4","~","X5lag",-0.449555474576386,0.0120646234101722,-37.2622882034881,0,"group"
"data12","X1","~","X4lag",-0.0956916806299208,0.0204765145317651,-4.67324067684834,2.96483989425944e-06,"group"
"data12","X6","~","X9lag",-0.0370154754573601,0.00357453935880405,-10.3553134381333,0,"group"
"data12","X3","~","X2",-0.503578618714898,0.0115882748697411,-43.455874526227,0,"group"
"data12","X5","~","X4lag",0.80265967134606,0.018723105487268,42.8700074296906,0,"group"
"data12","X5","~","X3lag",0.740506752764079,0.0173580431015947,42.6607278499066,0,"group"
"data12","X6","~","X8lag",0.255944240050612,0.010677819856587,23.9697094995215,0,"group"
"data12","X1","~","X3lag",0.316234066257645,0.0191297314422237,16.531024871559,0,"group"
"data12","X2","~","X3lag",-0.574239629425974,0.00737484695366896,-77.8646164501478,0,"group"
"data12","X4","~","X8",-0.267430080213926,0.0258963639140867,-10.3269355150069,0,"group"
"data12","X6","~","X2",0.0576240821226462,0.00586160339216112,9.83077125274433,0,"group"
"data12","X3","~","X8lag",-0.323435297966649,0.0128209445741236,-25.2271036737368,0,"group"
"data12","X8","~","X3",-0.175853835390135,0.0124231707967504,-14.1553101271162,0,"group"
"data12","X8","~","X4",-0.206474244736308,0.0219098710647386,-9.42380008199157,0,"group"
"data12","X5","~","X2",0.183406408584131,0.0151799117439025,12.0821788478317,0,"group"
"data12","X2","~","X5lag",0.631003167655018,0.00885960990717779,71.2224549687902,0,"group"
"data12","X2","~","X4lag",0.497156685127008,0.00610568143332498,81.4252578612296,0,"group"
"data12","X6","~","X9",0.0415473321014873,0.00354455542913345,11.7214508087533,0,"group"
"data12","X1","~","X5",-0.341122530090585,0.0241115591180412,-14.1476761589981,0,"group"
"data12","X8","~","X7",-0.593019652388295,0.0290636789179907,-20.4041495937808,0,"group"
"data12","X8","~","X7lag",0.272779963654028,0.0153976871823517,17.7156452409735,0,"group"
"data12","X7","~","X3",0.172338356678777,0.0108143122309143,15.9361365752066,0,"group"
"data12","X7","~","X2",0.206490930854539,0.0102980665467241,20.0514271215527,0,"group"
"data12","X6","~","X4",-0.0495090705996472,0.00612937481873617,-8.07734427470624,6.66133814775094e-16,"group"
"data12","X1","~","X4",-0.178733206348895,0.0203555556300335,-8.78056141514428,0,"group"
"data12","X7","~","X2lag",-0.1835317428957,0.012624987974033,-14.537181601534,0,"group"
"data12","X7","~","X4",-0.123815670841082,0.0113375066968949,-10.9208906465292,0,"group"
"data12","X7","~","X5",-0.116855786514704,0.0100454069154646,-11.6327578860751,0,"group"
"data12","X5","~","X4",-0.0968368359213129,0.0168475378686566,-5.74783310631219,9.03943964125631e-09,"group"
"data12","X4","~","X8lag",0.0586182906380775,0.012622562449647,4.64392954060741,3.41844185380857e-06,"group"
"data12","X5","~","X3",-0.0680633562469046,0.015051817159555,-4.52193615730295,6.12765431173834e-06,"group"
"data13","X1","~","X1lag",-0.670730929502332,0.0115280195572021,-58.1826675583055,0,"group"
"data13","X2","~","X2lag",-0.406956693970411,0.00677554359115419,-60.0625895908505,0,"group"
"data13","X3","~","X3lag",0.18193945186648,0.0108544953892553,16.7616683541621,0,"group"
"data13","X4","~","X4lag",-0.27027668670911,0.0141869811866943,-19.0510358160337,0,"group"
"data13","X5","~","X5lag",0.0249261226627098,0.0127455408289308,1.95567398804534,0.0505035708529622,"group"
"data13","X6","~","X6lag",-0.126206769837087,0.00642927536016837,-19.6300147010318,0,"group"
"data13","X7","~","X7lag",0.466338011213787,0.00784985613975502,59.4072047832893,0,"group"
"data13","X8","~","X8lag",-0.250945096800864,0.0256081452145723,-9.79942493679955,0,"group"
"data13","X9","~","X9lag",-0.872424299658097,0.0033785530639101,-258.224240719314,0,"group"
"data13","X3","~","X8",1.00337583214226,0.00786954444455802,127.501132906889,0,"group"
"data13","X6","~","X7",-0.520548559184745,0.0115300380260041,-45.1471675991643,0,"group"
"data13","X6","~","X4lag",0.537998836386594,0.0101845337244788,52.8250827127707,0,"group"
